BLDG|NAME|ADDRESS|CITY|STATE|ROOMS
1090|Health Science Center Administrative Services|1329 SW 16th ST|GAINESVILLE|FL|585
1091|Parking Garage 6 (SW 16th St)|1321 SW 16TH ST|GAINESVILLE|FL|23
1092|Sports Sign East|UNK|GAINESVILLE|FL|1
1093|Sports Sign West|UNK|GAINESVILLE|FL|1
1094|Sports Sign Hull Rd|UNK|GAINESVILLE|FL|1
1098|Vet Med Medical Gases Storage|UNK|GAINESVILLE|FL|1
1100|Mccarty Walkways|UNK|GAINESVILLE|FL|1
1101|Fine Arts Walkway|UNK|GAINESVILLE|FL|1
1102|Leigh Hall Walkways|UNK|GAINESVILLE|FL|1
1103|Smathers Walkway|UNK|GAINESVILLE|FL|1
1104|Benton Walkways|UNK|GAINESVILLE|FL|1
1105|Norman Hall Walkways|UNK|GAINESVILLE|FL|1
1106|Law Center Walkway|UNK|GAINESVILLE|FL|1
1107|Engineering Walkways|UNK|GAINESVILLE|FL|1
1115|Animal Nutrition Walkway|UNK|GAINESVILLE|FL|1
1116|Wallace Building Walkway|UNK|GAINESVILLE|FL|1
1117|IFAS Warehouse Walkway|UNK|GAINESVILLE|FL|1
1120|Lacrosse Ticket Booth|1788 NATURAL AREA DR|GAINESVILLE|FL|1
1121|Lacrosse Grand Stand|1788 NATURAL AREA DR|GAINESVILLE|FL|18
1122|Lacrosse Maintenance Building|1788 NATURAL AREA DR|GAINESVILLE|FL|6
1123|Lacrosse Locker Building|1788 NATURAL AREA DR|GAINESVILLE|FL|23
1124|Engineering Clock Tower|1981 STADIUM RD|GAINESVILLE|FL|1
1125|Dental Sciences Walkway|UNK|GAINESVILLE|FL|1
1126|Vetmed Basic Sciences Walkway|UNK|GAINESVILLE|FL|1
1127|Health Center Animal Facs Walkways|UNK|GAINESVILLE|FL|1
1128|Brain Institute Bridge|UNK|GAINESVILLE|FL|1
1131|UPD Evidence Building|1573 MUSEUM RD|GAINESVILLE|FL|4
1134|Materials Recycling Research|2610 SW 23RD TER|GAINESVILLE|FL|1
1135|Materials Recycling Research|UNK|GAINESVILLE|FL|1
1137|Mechanical Engineering Storage|UNK|GAINESVILLE|FL|1
1138|Product Test Facility|2610 SW 23RD TER|GAINESVILLE|FL|1
1139|Fuel Cell Garage|2610 SW 23RD TER|GAINESVILLE|FL|4
1140|Health Center Incinerator|1632 SW 34TH ST|GAINESVILLE|FL|1
1143|Bus Shelter at Hotel Park and Ride|UNK|GAINESVILLE|FL|1
1150|Smathers Emergency Generator|1486 UNION RD|GAINESVILLE|FL|1
1151|Smathers Fire Pump Building|1484 UNION RD|GAINESVILLE|FL|1
1156|Ring Varsity Tennis Building|2351 SW 2ND AV|GAINESVILLE|FL|23
1160|Katie Seashole Pressly Softball Stadium|2880 HULL RD|GAINESVILLE|FL|19
1161|Softball Maintenance Bldg.|2886 HULL RD|GAINESVILLE|FL|9
1162|Administration/Maintenance Building|2976 HULL RD|GAINESVILLE|FL|10
1164|Restroom/Pavilion Bldg Site B|1554 BLEDSOE DR|GAINESVILLE|FL|6
1165|Softball Field House Facility|2886 HULL RD|GAINESVILLE|FL|8
1166|Parking Garage 11 (Performing Arts)|3163 HULL RD|GAINESVILLE|FL|1
1169|Basketball Practice Facility|290 WOODLAWN DR|GAINESVILLE|FL|92
1170|Vet Med Storage|1945 SW 16TH AV|GAINESVILLE|FL|1
1171|Softball Batting Cage|2894 HULL RD|GAINESVILLE|FL|1
1172|Shands Linen Utility|1393 CENTER DR|GAINESVILLE|FL|1
